Title,Doi,PMID,Classification
The genome sequence of Caenorhabditis briggsae: a platform for comparative genomics.,https://doi.org/10.1371/journal.pbio.0000045,PMID: 14624247,New FindingTechnical Advance
Quantifying the impact and relevance of scientific research.,https://doi.org/10.1371/journal.pone.0027537,PMID: 22110667,New FindingTechnical Advance
LTP promotes a selective long-term stabilization and clustering of dendritic spines.,https://doi.org/10.1371/journal.pbio.0060219,PMID: 18788894,Interesting HypothesisNew Finding
Oriented scanning is the leading mechanism underlying 5' splice site selection in mammals.,https://doi.org/10.1371/journal.pgen.0020138,PMID: 16948532,Interesting HypothesisNew Finding
Long-distance delivery of bacterial virulence factors by Pseudomonas aeruginosa outer membrane vesicles.,https://doi.org/10.1371/journal.ppat.1000382,PMID: 19360133,Interesting Hypothesis
BIN1 localizes the L-type calcium channel to cardiac T-tubules.,https://doi.org/10.1371/journal.pbio.1000312,PMID: 20169111,New Finding
tRNAs promote nuclear import of HIV-1 intracellular reverse transcription complexes.,https://doi.org/10.1371/journal.pbio.0040332,PMID: 17020411,Interesting HypothesisNew Finding
Maternal and neonatal glycaemic control after antenatal corticosteroid administration in women with diabetes in pregnancy: A retrospective cohort study.,https://doi.org/10.1371/journal.pone.0246175,PMID: 33600450,ConfirmationNew Finding
Drosophila interspecific hybrids phenocopy piRNA-pathway mutants.,https://doi.org/10.1371/journal.pbio.1001428,PMID: 23189033,ConfirmationInteresting HypothesisNew Finding
The bi-functional organization of human basement membranes.,https://doi.org/10.1371/journal.pone.0067660,PMID: 23844050,ConfirmationNew FindingTechnical Advance
EGFR signaling coordinates patterning with cell survival during Drosophila epidermal development.,https://doi.org/10.1371/journal.pbio.3000027,PMID: 30379844,New Finding
Alternative splicing and subfunctionalization generates functional diversity in fungal proteomes.,https://doi.org/10.1371/journal.pgen.1003376,PMID: 23516382,ConfirmationNew Finding
Socio-economic and Climate Factors Associated with Dengue Fever Spatial Heterogeneity: A Worked Example in New Caledonia.,https://doi.org/10.1371/journal.pntd.0004211,PMID: 26624008,ConfirmationGood for Teaching
Stochastic noise and synchronisation during dictyostelium aggregation make cAMP oscillations robust.,https://doi.org/10.1371/journal.pcbi.0030218,PMID: 17997595,Interesting Hypothesis
Emergence of a stable cortical map for neuroprosthetic control.,https://doi.org/10.1371/journal.pbio.1000153,PMID: 19621062,Interesting HypothesisNew FindingTechnical Advance
Conserved function of the matriptase-prostasin proteolytic cascade during epithelial morphogenesis.,https://doi.org/10.1371/journal.pgen.1007882,PMID: 30601807,New Finding
Mutual mate choice: when it pays both sexes to avoid inbreeding.,https://doi.org/10.1371/journal.pone.0003365,PMID: 18843373,New Finding
Neuropilin-1/GIPC1 signaling regulates alpha5beta1 integrin traffic and function in endothelial cells.,https://doi.org/10.1371/journal.pbio.1000025,PMID: 19175293,Interesting HypothesisNew FindingNovel Drug Target
Aberrant localization of FUS and TDP43 is associated with misfolding of SOD1 in amyotrophic lateral sclerosis.,https://doi.org/10.1371/journal.pone.0035050,PMID: 22493728,ConfirmationNew Finding
Spore-autonomous fluorescent protein expression identifies meiotic chromosome mis-segregation as the principal cause of hybrid sterility in yeast.,https://doi.org/10.1371/journal.pbio.2005066,PMID: 30419022,Good for TeachingInteresting HypothesisNew FindingTechnical Advance
Uterine natural killer cells in peri-implantation endometrium from women with repeated implantation failure after IVF.,https://doi.org/10.1016/j.jri.2010.07.001,PMID: 20800899,Confirmation
"The structure of Mediterranean rocky reef ecosystems across environmental and human gradients, and conservation implications.",https://doi.org/10.1371/journal.pone.0032742,PMID: 22393445,Confirmation
Epigenetically-inherited centromere and neocentromere DNA replicates earliest in S-phase.,https://doi.org/10.1371/journal.pgen.1001068,PMID: 20808889,ConfirmationNew Finding
CpG methylation controls reactivation of HIV from latency.,https://doi.org/10.1371/journal.ppat.1000554,PMID: 19696893,New Finding
Lactic acid bacteria convert human fibroblasts to multipotent cells.,https://doi.org/10.1371/journal.pone.0051866,PMID: 23300571,ControversialInteresting HypothesisNew FindingTechnical Advance
