title,doi,pmid,score,relative_citation_ratio,weighted_sum_of_stars,evaluation,recom_date,author,classifications
Transcellular chaperone signaling is an intercellular stress-response distinct from the HSF-1-mediated heat shock response.,https://doi.org/10.1371/journal.pbio.3001605,36780563,Score 13.8,".css-twbpb3{margin-right:0.25rem;display:inline;height:0.625rem;width:0.625rem;fill:rgb(124, 0, 61);vertical-align:baseline;} Weighted sum of stars: 3.0",,Very Good,22 Jun 2023,Miles J et al.,Good for Teaching
Transcellular chaperone signaling is an intercellular stress-response distinct from the HSF-1-mediated heat shock response.,https://doi.org/10.1371/journal.pbio.3001605,36780563,Score 13.8,".css-twbpb3{margin-right:0.25rem;display:inline;height:0.625rem;width:0.625rem;fill:rgb(124, 0, 61);vertical-align:baseline;} Weighted sum of stars: 3.0",,Very Good,22 Jun 2023,Miles J et al.,Interesting Hypothesis
Promoting inclusive metrics of success and impact to dismantle a discriminatory reward system in science.,https://doi.org/10.1371/journal.pbio.3001282,34129646,Score 9.4,.css-x5u47{margin-right:0.25rem;display:inline;height:0.625rem;width:0.625rem;vertical-align:baseline;}.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 3.97,".css-twbpb3{margin-right:0.25rem;display:inline;height:0.625rem;width:0.625rem;fill:rgb(124, 0, 61);vertical-align:baseline;} Weighted sum of stars: 2.0",Very Good,23 May 2022,Davies SW et al.,Controversial
Transcellular chaperone signaling is an intercellular stress-response distinct from the HSF-1-mediated heat shock response.,https://doi.org/10.1371/journal.pbio.3001605,36780563,Score 13.8,".css-twbpb3{margin-right:0.25rem;display:inline;height:0.625rem;width:0.625rem;fill:rgb(124, 0, 61);vertical-align:baseline;} Weighted sum of stars: 3.0",,Very Good,22 Jun 2023,Miles J et al.,New Finding
The silent loss of cell physiology hampers marine biosciences.,https://doi.org/10.1371/journal.pbio.3001641,35550624,Score 4.7,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 1.07, Weighted sum of stars: 1.0,Good,02 Oct 2023,Melzner F et al.,Interesting Hypothesis
A safety mechanism enables tissue-specific resistance to protein aggregation during aging in C. elegans.,https://doi.org/10.1371/journal.pbio.3002284,37708127,Score 18.4, Weighted sum of stars: 4.0,,Exceptional,20 Sep 2023,Jung R et al.,Interesting Hypothesis
A safety mechanism enables tissue-specific resistance to protein aggregation during aging in C. elegans.,https://doi.org/10.1371/journal.pbio.3002284,37708127,Score 18.4, Weighted sum of stars: 4.0,,Exceptional,20 Sep 2023,Jung R et al.,New Finding
Similar object shape representation encoded in the inferolateral occipitotemporal cortex of sighted and early blind people.,https://doi.org/10.1371/journal.pbio.3001930,37490508,Score 9.2, Weighted sum of stars: 2.0,,Very Good,14 Aug 2023,Xu Y et al.,Interesting Hypothesis
Promoting inclusive metrics of success and impact to dismantle a discriminatory reward system in science.,https://doi.org/10.1371/journal.pbio.3001282,34129646,Score 9.4,.css-x5u47{margin-right:0.25rem;display:inline;height:0.625rem;width:0.625rem;vertical-align:baseline;}.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 3.97,".css-twbpb3{margin-right:0.25rem;display:inline;height:0.625rem;width:0.625rem;fill:rgb(124, 0, 61);vertical-align:baseline;} Weighted sum of stars: 2.0",Very Good,23 May 2022,Davies SW et al.,Good for Teaching
FERONIA and microtubules independently contribute to mechanical integrity in the Arabidopsis shoot.,https://doi.org/10.1371/journal.pbio.3001454,34767544,Score 4.8,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 2.8, Weighted sum of stars: 1.0,Good,25 Apr 2022,Malivert A et al.,Interesting Hypothesis
FERONIA and microtubules independently contribute to mechanical integrity in the Arabidopsis shoot.,https://doi.org/10.1371/journal.pbio.3001454,34767544,Score 4.8,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 2.8, Weighted sum of stars: 1.0,Good,25 Apr 2022,Malivert A et al.,New Finding
The curse of the protein ribbon diagram.,https://doi.org/10.1371/journal.pbio.3001901,36508416,Score 4.6,.css-x5u47{margin-right:0.25rem;display:inline;height:0.625rem;width:0.625rem;vertical-align:baseline;}.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 0.43,".css-twbpb3{margin-right:0.25rem;display:inline;height:0.625rem;width:0.625rem;fill:rgb(124, 0, 61);vertical-align:baseline;} Weighted sum of stars: 1.0",Good,14 Feb 2023,Bourne PE et al.,Confirmation
Similar object shape representation encoded in the inferolateral occipitotemporal cortex of sighted and early blind people.,https://doi.org/10.1371/journal.pbio.3001930,37490508,Score 9.2, Weighted sum of stars: 2.0,,Very Good,14 Aug 2023,Xu Y et al.,New Finding
DSCAM gene triplication causes excessive GABAergic synapses in the neocortex in Down syndrome mouse models.,https://doi.org/10.1371/journal.pbio.3002078,37079499,Score 18.4, Weighted sum of stars: 4.0,,Exceptional,07 Aug 2023,Liu H et al.,Confirmation
DSCAM gene triplication causes excessive GABAergic synapses in the neocortex in Down syndrome mouse models.,https://doi.org/10.1371/journal.pbio.3002078,37079499,Score 18.4, Weighted sum of stars: 4.0,,Exceptional,07 Aug 2023,Liu H et al.,Interesting Hypothesis
DSCAM gene triplication causes excessive GABAergic synapses in the neocortex in Down syndrome mouse models.,https://doi.org/10.1371/journal.pbio.3002078,37079499,Score 18.4, Weighted sum of stars: 4.0,,Exceptional,07 Aug 2023,Liu H et al.,New Finding
The microprotein Nrs1 rewires the G1/S transcriptional machinery during nitrogen limitation in budding yeast.,https://doi.org/10.1371/journal.pbio.3001548,35239649,Score 4.7,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 1.39, Weighted sum of stars: 1.0,Good,20 Apr 2022,Tollis S et al.,New Finding
DSCAM gene triplication causes excessive GABAergic synapses in the neocortex in Down syndrome mouse models.,https://doi.org/10.1371/journal.pbio.3002078,37079499,Score 18.4, Weighted sum of stars: 4.0,,Exceptional,07 Aug 2023,Liu H et al.,Technical Advance
Molecular architecture of the C. elegans centriole.,https://doi.org/10.1371/journal.pbio.3001784,36107993,Score 4.7,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 1.86, Weighted sum of stars: 1.0,Good,07 Aug 2023,Woglar A et al.,New Finding
The curse of the protein ribbon diagram.,https://doi.org/10.1371/journal.pbio.3001901,36508416,Score 4.6,.css-x5u47{margin-right:0.25rem;display:inline;height:0.625rem;width:0.625rem;vertical-align:baseline;}.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 0.43,".css-twbpb3{margin-right:0.25rem;display:inline;height:0.625rem;width:0.625rem;fill:rgb(124, 0, 61);vertical-align:baseline;} Weighted sum of stars: 1.0",Good,14 Feb 2023,Bourne PE et al.,Good for Teaching
Tracking changes between preprint posting and journal publication during a pandemic.,https://doi.org/10.1371/journal.pbio.3001285,35104285,Score 9.6,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 6.65, Weighted sum of stars: 2.0,Very Good,04 Jan 2023,Brierley L et al.,Controversial
Neurobiological origins of individual differences in mathematical ability.,https://doi.org/10.1371/journal.pbio.3000871,33090992,Score 9.2,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 0.57, Weighted sum of stars: 2.0,Very Good,13 Apr 2022,Skeide MA et al.,New Finding
Systematically assessing microbiome-disease associations identifies drivers of inconsistency in metagenomic research.,https://doi.org/10.1371/journal.pbio.3001556,35235560,Score 9.3,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 1.39, Weighted sum of stars: 2.0,Very Good,31 Mar 2022,Tierney BT et al.,Good for Teaching
Systematically assessing microbiome-disease associations identifies drivers of inconsistency in metagenomic research.,https://doi.org/10.1371/journal.pbio.3001556,35235560,Score 9.3,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 1.39, Weighted sum of stars: 2.0,Very Good,31 Mar 2022,Tierney BT et al.,Interesting Hypothesis
Tracking changes between preprint posting and journal publication during a pandemic.,https://doi.org/10.1371/journal.pbio.3001285,35104285,Score 9.6,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 6.65, Weighted sum of stars: 2.0,Very Good,04 Jan 2023,Brierley L et al.,Good for Teaching
cNap1 bridges centriole contact sites to maintain centrosome cohesion.,https://doi.org/10.1371/journal.pbio.3001854,36282799,Score 4.6,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 0.81, Weighted sum of stars: 1.0,Good,02 Nov 2022,Mahen R,Confirmation
Molecular architecture of the C. elegans centriole.,https://doi.org/10.1371/journal.pbio.3001784,36107993,Score 4.7,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 1.86, Weighted sum of stars: 1.0,Good,07 Aug 2023,Woglar A et al.,Technical Advance
