title,doi,pmid,score,relative_citation_ratio,weighted_sum_of_stars,evaluation,recom_date,author,classifications
Neural network features distinguish chemosensory stimuli in Caenorhabditis elegans.,https://doi.org/10.1371/journal.pcbi.1009591,34752447,Score 4.6, Weighted sum of stars: 1.0,,Good,05 Dec 2021,How JJ et al.,Confirmation
Neural network features distinguish chemosensory stimuli in Caenorhabditis elegans.,https://doi.org/10.1371/journal.pcbi.1009591,34752447,Score 4.6, Weighted sum of stars: 1.0,,Good,05 Dec 2021,How JJ et al.,New Finding
Neural network features distinguish chemosensory stimuli in Caenorhabditis elegans.,https://doi.org/10.1371/journal.pcbi.1009591,34752447,Score 4.6, Weighted sum of stars: 1.0,,Good,05 Dec 2021,How JJ et al.,Technical Advance
Transfer learning enables prediction of CYP2D6 haplotype function.,https://doi.org/10.1371/journal.pcbi.1008399,33137098,Score 9.3,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 1.72, Weighted sum of stars: 2.0,Very Good,13 Oct 2021,McInnes G et al.,New Finding
Adhesion-regulated junction slippage controls cell intercalation dynamics in an Apposed-Cortex Adhesion Model.,https://doi.org/10.1371/journal.pcbi.1009812,35089922,Score 9.3,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 1.23, Weighted sum of stars: 2.0,Very Good,19 Dec 2022,Nestor-Bergmann A et al.,New Finding
Transfer learning enables prediction of CYP2D6 haplotype function.,https://doi.org/10.1371/journal.pcbi.1008399,33137098,Score 9.3,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 1.72, Weighted sum of stars: 2.0,Very Good,13 Oct 2021,McInnes G et al.,Technical Advance
"Simple Plans or Sophisticated Habits? State, Transition and Learning Interactions in the Two-Step Task.",https://doi.org/10.1371/journal.pcbi.1004648,26657806,Score 4.7,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 2.03, Weighted sum of stars: 1.0,Good,23 Sep 2021,Akam T et al.,Good for Teaching
"Simple Plans or Sophisticated Habits? State, Transition and Learning Interactions in the Two-Step Task.",https://doi.org/10.1371/journal.pcbi.1004648,26657806,Score 4.7,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 2.03, Weighted sum of stars: 1.0,Good,23 Sep 2021,Akam T et al.,Technical Advance
Computational epitope map of SARS-CoV-2 spike protein.,https://doi.org/10.1371/journal.pcbi.1008790,33793546,Score 9.6,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 7.32, Weighted sum of stars: 2.0,Very Good,09 May 2021,Sikora M et al.,Interesting Hypothesis
Adhesion-regulated junction slippage controls cell intercalation dynamics in an Apposed-Cortex Adhesion Model.,https://doi.org/10.1371/journal.pcbi.1009812,35089922,Score 9.3,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 1.23, Weighted sum of stars: 2.0,Very Good,19 Dec 2022,Nestor-Bergmann A et al.,Technical Advance
