title,doi,pmid,score,relative_citation_ratio,weighted_sum_of_stars,evaluation,recom_date,author,classifications,
rab-27 acts in an intestinal pathway to inhibit axon regeneration in C. elegans.,https://doi.org/10.1371/journal.pgen.1009877,34818334,Score 4.6,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 0.63, Weighted sum of stars: 1.0,Good,12-Apr-22,Lin-Moore AT et al.,New Finding,
A unique cell wall synthetic response evoked by glucosamine determines pathogenicity-associated fungal cellular differentiation.,https://doi.org/10.1371/journal.pgen.1009817,34624015,Score 18.5,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 1.37, Weighted sum of stars: 4.0,Exceptional,24-Feb-22,Hu P et al.,Good for Teaching,
A unique cell wall synthetic response evoked by glucosamine determines pathogenicity-associated fungal cellular differentiation.,https://doi.org/10.1371/journal.pgen.1009817,34624015,Score 18.5,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 1.37, Weighted sum of stars: 4.0,Exceptional,24-Feb-22,Hu P et al.,New Finding,
A unique cell wall synthetic response evoked by glucosamine determines pathogenicity-associated fungal cellular differentiation.,https://doi.org/10.1371/journal.pgen.1009817,34624015,Score 18.5,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 1.37, Weighted sum of stars: 4.0,Exceptional,24-Feb-22,Hu P et al.,Technical Advance,
Regulation of gliotoxin biosynthesis and protection in Aspergillus species.,https://doi.org/10.1371/journal.pgen.1009965,35041649,Score 4.8,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 4.41, Weighted sum of stars: 1.0,Good,14-Feb-22,de Castro PA et al.,New Finding,
Kinesin-3 mediated axonal delivery of presynaptic neurexin stabilizes dendritic spines and postsynaptic components.,https://doi.org/10.1371/journal.pgen.1010016,35089924,Score 4.7,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 1.4, Weighted sum of stars: 1.0,Good,13-Feb-22,Oliver D et al.,Good for Teaching,
Kinesin-3 mediated axonal delivery of presynaptic neurexin stabilizes dendritic spines and postsynaptic components.,https://doi.org/10.1371/journal.pgen.1010016,35089924,Score 4.7,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 1.4, Weighted sum of stars: 1.0,Good,13-Feb-22,Oliver D et al.,New Finding,
Co-option of immune effectors by the hormonal signalling system triggering metamorphosis in Drosophila melanogaster.,https://doi.org/10.1371/journal.pgen.1009916,34843450,Score 4.6,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 0.61, Weighted sum of stars: 1.0,Good,31-Jan-22,Nunes C et al.,New Finding,
Chromatin accessibility and gene expression during adipocyte differentiation identify context-dependent effects at cardiometabolic GWAS loci.,https://doi.org/10.1371/journal.pgen.1009865,34699533,Score 18.4,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 0.43, Weighted sum of stars: 4.0,Exceptional,17-Jan-22,Perrin HJ et al.,Good for Teaching,
Chromatin accessibility and gene expression during adipocyte differentiation identify context-dependent effects at cardiometabolic GWAS loci.,https://doi.org/10.1371/journal.pgen.1009865,34699533,Score 18.4,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 0.43, Weighted sum of stars: 4.0,Exceptional,17-Jan-22,Perrin HJ et al.,Interesting Hypothesis,
