title,doi,pmid,score,relative_citation_ratio,weighted_sum_of_stars,evaluation,recom_date,author,classifications
"COVID-19 deaths in children and young people in England, March 2020 to December 2021: An active prospective national surveillance study.",https://doi.org/10.1371/journal.pmed.1004118,36346784,Score 4.7,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 1.24, Weighted sum of stars: 1.0,Good,13 Nov 2022,Bertran M et al.,Confirmation
"COVID-19 deaths in children and young people in England, March 2020 to December 2021: An active prospective national surveillance study.",https://doi.org/10.1371/journal.pmed.1004118,36346784,Score 4.7,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 1.24, Weighted sum of stars: 1.0,Good,13 Nov 2022,Bertran M et al.,Good for Teaching
Integrating polygenic risk scores in the prediction of type 2 diabetes risk and subtypes in British Pakistanis and Bangladeshis: A population-based cohort study.,https://doi.org/10.1371/journal.pmed.1003981,35587468,Score 9.4,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 2.87, Weighted sum of stars: 2.0,Very Good,11 Jul 2022,Hodgson S et al.,Confirmation
Integrating polygenic risk scores in the prediction of type 2 diabetes risk and subtypes in British Pakistanis and Bangladeshis: A population-based cohort study.,https://doi.org/10.1371/journal.pmed.1003981,35587468,Score 9.4,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 2.87, Weighted sum of stars: 2.0,Very Good,11 Jul 2022,Hodgson S et al.,New Finding
Integrating polygenic risk scores in the prediction of type 2 diabetes risk and subtypes in British Pakistanis and Bangladeshis: A population-based cohort study.,https://doi.org/10.1371/journal.pmed.1003981,35587468,Score 9.4,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 2.87, Weighted sum of stars: 2.0,Very Good,11 Jul 2022,Hodgson S et al.,Technical Advance
"Changes in household food and drink purchases following restrictions on the advertisement of high fat, salt, and sugar products across the Transport for London network: A controlled interrupted time series analysis.",https://doi.org/10.1371/journal.pmed.1003915,35176022,Score 4.9,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 4.94, Weighted sum of stars: 1.0,Good,25 May 2022,Yau A et al.,Good for Teaching
"Changes in household food and drink purchases following restrictions on the advertisement of high fat, salt, and sugar products across the Transport for London network: A controlled interrupted time series analysis.",https://doi.org/10.1371/journal.pmed.1003915,35176022,Score 4.9,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 4.94, Weighted sum of stars: 1.0,Good,25 May 2022,Yau A et al.,New Finding
"Changes in household food and drink purchases following restrictions on the advertisement of high fat, salt, and sugar products across the Transport for London network: A controlled interrupted time series analysis.",https://doi.org/10.1371/journal.pmed.1003915,35176022,Score 4.9,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 4.94, Weighted sum of stars: 1.0,Good,25 May 2022,Yau A et al.,Technical Advance
Perfluoroalkyl substances and changes in body weight and resting metabolic rate in response to weight-loss diets: A prospective study.,https://doi.org/10.1371/journal.pmed.1002502,29438414,Score 18.8,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 6.77, Weighted sum of stars: 4.0,Exceptional,24 Apr 2018,Liu G et al.,New Finding
Association between lithium use and the incidence of dementia and its subtypes: A retrospective cohort study.,https://doi.org/10.1371/journal.pmed.1003941,35298477,Score 18.8,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 7.35, Weighted sum of stars: 4.0,Exceptional,05 Apr 2022,Chen S et al.,New Finding
"Overall and cause-specific hospitalisation and death after COVID-19 hospitalisation in England: A cohort study using linked primary care, secondary care, and death registration data in the OpenSAFELY platform.",https://doi.org/10.1371/journal.pmed.1003871,35077449,Score 4.9,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 5.98, Weighted sum of stars: 1.0,Good,07 Feb 2022,Bhaskaran K et al.,Good for Teaching
Antimicrobial resistance in Neisseria gonorrhoeae: Global surveillance and a call for international collaborative action.,https://doi.org/10.1371/journal.pmed.1002344,28686231,Score 10.4,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 20.71, Weighted sum of stars: 2.0,Very Good,20 Mar 2018,Wi T et al.,Good for Teaching
"Gabapentin, opioids, and the risk of opioid-related death: A population-based nested case-control study.",https://doi.org/10.1371/journal.pmed.1002396,28972983,Score 10.4,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 20.79, Weighted sum of stars: 2.0,Very Good,04 Feb 2018,Gomes T et al.,Good for Teaching
"Overall and cause-specific hospitalisation and death after COVID-19 hospitalisation in England: A cohort study using linked primary care, secondary care, and death registration data in the OpenSAFELY platform.",https://doi.org/10.1371/journal.pmed.1003871,35077449,Score 4.9,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 5.98, Weighted sum of stars: 1.0,Good,07 Feb 2022,Bhaskaran K et al.,New Finding
Ambient and household PM2.5 pollution and adverse perinatal outcomes: A meta-regression and analysis of attributable global burden for 204 countries and territories.,https://doi.org/10.1371/journal.pmed.1003718,34582444,Score 9.6,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 6.84, Weighted sum of stars: 2.0,Good,13 Oct 2021,Ghosh R et al.,Confirmation
Ambient and household PM2.5 pollution and adverse perinatal outcomes: A meta-regression and analysis of attributable global burden for 204 countries and territories.,https://doi.org/10.1371/journal.pmed.1003718,34582444,Score 9.6,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 6.84, Weighted sum of stars: 2.0,Good,13 Oct 2021,Ghosh R et al.,Good for Teaching
"Gabapentin, opioids, and the risk of opioid-related death: A population-based nested case-control study.",https://doi.org/10.1371/journal.pmed.1002396,28972983,Score 10.4,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 20.79, Weighted sum of stars: 2.0,Very Good,04 Feb 2018,Gomes T et al.,New Finding
Antenatal corticosteroid therapy (ACT) and size at birth: A population-based analysis using the Finnish Medical Birth Register.,https://doi.org/10.1371/journal.pmed.1002746,30807570,Score 9.4,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 3.12, Weighted sum of stars: 2.0,Very Good,19 Mar 2020,Rodriguez A et al.,New Finding
Ambient and household PM2.5 pollution and adverse perinatal outcomes: A meta-regression and analysis of attributable global burden for 204 countries and territories.,https://doi.org/10.1371/journal.pmed.1003718,34582444,Score 9.6,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 6.84, Weighted sum of stars: 2.0,Good,13 Oct 2021,Ghosh R et al.,Interesting Hypothesis
"Biomarkers of dairy fat intake, incident cardiovascular disease, and all-cause mortality: A cohort study, systematic review, and meta-analysis.",https://doi.org/10.1371/journal.pmed.1003763,34547017,Score 4.8,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 4.17, Weighted sum of stars: 1.0,Good,12 Oct 2021,Trieu K et al.,Confirmation
"Biomarkers of dairy fat intake, incident cardiovascular disease, and all-cause mortality: A cohort study, systematic review, and meta-analysis.",https://doi.org/10.1371/journal.pmed.1003763,34547017,Score 4.8,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 4.17, Weighted sum of stars: 1.0,Good,12 Oct 2021,Trieu K et al.,Good for Teaching
"Biomarkers of dairy fat intake, incident cardiovascular disease, and all-cause mortality: A cohort study, systematic review, and meta-analysis.",https://doi.org/10.1371/journal.pmed.1003763,34547017,Score 4.8,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 4.17, Weighted sum of stars: 1.0,Good,12 Oct 2021,Trieu K et al.,New Finding
"Global Role and Burden of Influenza in Pediatric Respiratory Hospitalizations, 1982-2012: A Systematic Analysis.",https://doi.org/10.1371/journal.pmed.1001977,27011229,Score 5.3,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 12.76, Weighted sum of stars: 1.0,Good,22 Jan 2018,Lafond KE et al.,New Finding
"Biomarkers of dairy fat intake, incident cardiovascular disease, and all-cause mortality: A cohort study, systematic review, and meta-analysis.",https://doi.org/10.1371/journal.pmed.1003763,34547017,Score 4.8,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 4.17, Weighted sum of stars: 1.0,Good,12 Oct 2021,Trieu K et al.,Technical Advance
Digital adherence technology for tuberculosis treatment supervision: A stepped-wedge cluster-randomized trial in Uganda.,https://doi.org/10.1371/journal.pmed.1003628,33956802,Score 4.8,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 3.69, Weighted sum of stars: 1.0,Good,07 Jun 2021,Cattamanchi A et al.,Good for Teaching
Risk prediction models for selection of lung cancer screening candidates: A retrospective validation study.,https://doi.org/10.1371/journal.pmed.1002277,28376113,Score 9.6,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 7.92, Weighted sum of stars: 2.0,Very Good,03 Jan 2018,Ten Haaf K et al.,New Finding
Effects of repeat prenatal corticosteroids given to women at risk of preterm birth: An individual participant data meta-analysis.,https://doi.org/10.1371/journal.pmed.1002771,30978205,Score 4.8,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 4, Weighted sum of stars: 1.0,Good,19 Mar 2020,Crowther CA et al.,New Finding
Leukocyte Telomere Length in Relation to 17 Biomarkers of Cardiovascular Disease Risk: A Cross-Sectional Study of US Adults.,https://doi.org/10.1371/journal.pmed.1002188,27898678,Score 4.9,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 4.71, Weighted sum of stars: 1.0,Good,11 May 2017,Rehkopf DH et al.,New Finding
Digital adherence technology for tuberculosis treatment supervision: A stepped-wedge cluster-randomized trial in Uganda.,https://doi.org/10.1371/journal.pmed.1003628,33956802,Score 4.8,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 3.69, Weighted sum of stars: 1.0,Good,07 Jun 2021,Cattamanchi A et al.,New Finding
Egg and cholesterol consumption and mortality from cardiovascular and different causes in the United States: A population-based cohort study.,https://doi.org/10.1371/journal.pmed.1003508,33561122,Score 18.7,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 5.22, Weighted sum of stars: 4.0,Exceptional,18 Mar 2021,Zhuang P et al.,Changes Clinical Practice
Egg and cholesterol consumption and mortality from cardiovascular and different causes in the United States: A population-based cohort study.,https://doi.org/10.1371/journal.pmed.1003508,33561122,Score 18.7,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 5.22, Weighted sum of stars: 4.0,Exceptional,18 Mar 2021,Zhuang P et al.,Confirmation
