title,doi,pmid,score,relative_citation_ratio,weighted_sum_of_stars,evaluation,recom_date,author,classifications,
Plant choice between arbuscular mycorrhizal fungal species results in increased plant P acquisition.,https://doi.org/10.1371/journal.pone.0292811,38295035,Score 9.2, Weighted sum of stars: 2.0,,Very Good,7-Feb-24,Weber SE et al.,Confirmation,
Plant choice between arbuscular mycorrhizal fungal species results in increased plant P acquisition.,https://doi.org/10.1371/journal.pone.0292811,38295035,Score 9.2, Weighted sum of stars: 2.0,,Very Good,7-Feb-24,Weber SE et al.,Good for Teaching,
Plant choice between arbuscular mycorrhizal fungal species results in increased plant P acquisition.,https://doi.org/10.1371/journal.pone.0292811,38295035,Score 9.2, Weighted sum of stars: 2.0,,Very Good,7-Feb-24,Weber SE et al.,Interesting Hypothesis,
Asthma and its relationship to mitochondrial copy number: Results from the Asthma Translational Genomics Collaborative (ATGC) of the Trans-Omics for Precision Medicine (TOPMed) program.,https://doi.org/10.1371/journal.pone.0242364,33237978,Score 9.3,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 1.12, Weighted sum of stars: 2.0,Very Good,7-Dec-22,Cocco MP et al.,Good for Teaching,
Asthma and its relationship to mitochondrial copy number: Results from the Asthma Translational Genomics Collaborative (ATGC) of the Trans-Omics for Precision Medicine (TOPMed) program.,https://doi.org/10.1371/journal.pone.0242364,33237978,Score 9.3,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 1.12, Weighted sum of stars: 2.0,Very Good,7-Dec-22,Cocco MP et al.,Interesting Hypothesis,
Plant choice between arbuscular mycorrhizal fungal species results in increased plant P acquisition.,https://doi.org/10.1371/journal.pone.0292811,38295035,Score 9.2, Weighted sum of stars: 2.0,,Very Good,7-Feb-24,Weber SE et al.,New Finding,
Incidence and predictors of tuberculosis among children receiving antiretroviral therapy in the Wolaita Zone: A retrospective cohort study.,https://doi.org/10.1371/journal.pone.0291502,37733689,Score 4.6, Weighted sum of stars: 1.0,,Good,12-Oct-23,Tekese D et al.,Good for Teaching,
Bleb geometry and morphology after Preserflo Microshunt surgery: Risk factors for surgical failure.,https://doi.org/10.1371/journal.pone.0286884,37289791,Score 9.2, Weighted sum of stars: 2.0,,Very Good,23-Aug-23,Ibarz Barberá M et al.,Good for Teaching,
Bleb geometry and morphology after Preserflo Microshunt surgery: Risk factors for surgical failure.,https://doi.org/10.1371/journal.pone.0286884,37289791,Score 9.2, Weighted sum of stars: 2.0,,Very Good,23-Aug-23,Ibarz Barberá M et al.,Interesting Hypothesis,
Asthma and its relationship to mitochondrial copy number: Results from the Asthma Translational Genomics Collaborative (ATGC) of the Trans-Omics for Precision Medicine (TOPMed) program.,https://doi.org/10.1371/journal.pone.0242364,33237978,Score 9.3,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 1.12, Weighted sum of stars: 2.0,Very Good,7-Dec-22,Cocco MP et al.,New Finding,
"Reducing the risk of transfusion-transmitted infectious disease markers in blood and blood component donations: Movement from remunerated to voluntary, non-remunerated donations in Lithuania from 2013 to 2020.",https://doi.org/10.1371/journal.pone.0277650,36378657,Score 18.4,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 0.48, Weighted sum of stars: 4.0,Exceptional,28-Nov-22,"Kalibatas V, Kalibatienė L",Changes Clinical Practice,
"Reducing the risk of transfusion-transmitted infectious disease markers in blood and blood component donations: Movement from remunerated to voluntary, non-remunerated donations in Lithuania from 2013 to 2020.",https://doi.org/10.1371/journal.pone.0277650,36378657,Score 18.4,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 0.48, Weighted sum of stars: 4.0,Exceptional,28-Nov-22,"Kalibatas V, Kalibatienė L",Confirmation,
Bleb geometry and morphology after Preserflo Microshunt surgery: Risk factors for surgical failure.,https://doi.org/10.1371/journal.pone.0286884,37289791,Score 9.2, Weighted sum of stars: 2.0,,Very Good,23-Aug-23,Ibarz Barberá M et al.,Technical Advance,
Evaluation of the introduction of a healthy food and drink policy in 13 community recreation centres on the healthiness and nutrient content of customer purchases and business outcomes: An observational study.,https://doi.org/10.1371/journal.pone.0288719,37467247,Score 4.6, Weighted sum of stars: 1.0,,Good,16-Aug-23,Naughton SS et al.,Confirmation,
Evaluation of the introduction of a healthy food and drink policy in 13 community recreation centres on the healthiness and nutrient content of customer purchases and business outcomes: An observational study.,https://doi.org/10.1371/journal.pone.0288719,37467247,Score 4.6, Weighted sum of stars: 1.0,,Good,16-Aug-23,Naughton SS et al.,Good for Teaching,
Evaluation of the introduction of a healthy food and drink policy in 13 community recreation centres on the healthiness and nutrient content of customer purchases and business outcomes: An observational study.,https://doi.org/10.1371/journal.pone.0288719,37467247,Score 4.6, Weighted sum of stars: 1.0,,Good,16-Aug-23,Naughton SS et al.,Interesting Hypothesis,
"Reducing the risk of transfusion-transmitted infectious disease markers in blood and blood component donations: Movement from remunerated to voluntary, non-remunerated donations in Lithuania from 2013 to 2020.",https://doi.org/10.1371/journal.pone.0277650,36378657,Score 18.4,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 0.48, Weighted sum of stars: 4.0,Exceptional,28-Nov-22,"Kalibatas V, Kalibatienė L",Good for Teaching,
Open ocean and coastal strains of the N2-fixing cyanobacterium UCYN-A have distinct transcriptomes.,https://doi.org/10.1371/journal.pone.0272674,37130101,Score 9.2, Weighted sum of stars: 2.0,,Very Good,22-Jun-23,Muñoz-Marín MDC et al.,New Finding,
Effects of vitamin D supplementation during pregnancy on bone health and offspring growth: A systematic review and meta-analysis of randomized controlled trials.,https://doi.org/10.1371/journal.pone.0276016,36227906,Score 4.8,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 2.84, Weighted sum of stars: 1.0,Good,8-Nov-22,Luo T et al.,New Finding,
Reliability of multi-site UK Biobank MRI brain phenotypes for the assessment of neuropsychiatric complications of SARS-CoV-2 infection: The COVID-CNS travelling heads study.,https://doi.org/10.1371/journal.pone.0273704,36173949,Score 4.6,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 0.68, Weighted sum of stars: 1.0,Good,12-Oct-22,Duff E et al.,Good for Teaching,
Reliability of multi-site UK Biobank MRI brain phenotypes for the assessment of neuropsychiatric complications of SARS-CoV-2 infection: The COVID-CNS travelling heads study.,https://doi.org/10.1371/journal.pone.0273704,36173949,Score 4.6,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 0.68, Weighted sum of stars: 1.0,Good,12-Oct-22,Duff E et al.,Novel Drug Target,
The association of denture wearing with reduced lung function and increased airflow limitation in 58-72 year old men.,https://doi.org/10.1371/journal.pone.0285117,37200325,Score 4.6, Weighted sum of stars: 1.0,,Good,6-Jun-23,Kelly N et al.,New Finding,
Taxonomic identification accuracy from BOLD and GenBank databases using over a thousand insect DNA barcodes from Colombia.,https://doi.org/10.1371/journal.pone.0277379,37093820,Score 4.6, Weighted sum of stars: 1.0,,Good,10-May-23,Baena-Bejarano N et al.,Confirmation,
