title,doi,pmid,score,relative_citation_ratio,weighted_sum_of_stars,evaluation,recom_date,author,classifications
A modular CRISPR screen identifies individual and combination pathways contributing to HIV-1 latency.,https://doi.org/10.1371/journal.ppat.1011101,36706161,Score 4.7,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 2.48, Weighted sum of stars: 1.0,Good,02 Feb 2023,Hsieh E et al.,Confirmation
A modular CRISPR screen identifies individual and combination pathways contributing to HIV-1 latency.,https://doi.org/10.1371/journal.ppat.1011101,36706161,Score 4.7,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 2.48, Weighted sum of stars: 1.0,Good,02 Feb 2023,Hsieh E et al.,Interesting Hypothesis
A modular CRISPR screen identifies individual and combination pathways contributing to HIV-1 latency.,https://doi.org/10.1371/journal.ppat.1011101,36706161,Score 4.7,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 2.48, Weighted sum of stars: 1.0,Good,02 Feb 2023,Hsieh E et al.,New Finding
Oncolytic strategy using new bifunctional HDACs/BRD4 inhibitors against virus-associated lymphomas.,https://doi.org/10.1371/journal.ppat.1011089,36638143,Score 4.6, Weighted sum of stars: 1.0,,Good,22 Jan 2023,Chen J et al.,Confirmation
Oncolytic strategy using new bifunctional HDACs/BRD4 inhibitors against virus-associated lymphomas.,https://doi.org/10.1371/journal.ppat.1011089,36638143,Score 4.6, Weighted sum of stars: 1.0,,Good,22 Jan 2023,Chen J et al.,Interesting Hypothesis
Oncolytic strategy using new bifunctional HDACs/BRD4 inhibitors against virus-associated lymphomas.,https://doi.org/10.1371/journal.ppat.1011089,36638143,Score 4.6, Weighted sum of stars: 1.0,,Good,22 Jan 2023,Chen J et al.,New Finding
Revealing spatio-temporal dynamics with long-term trypanosomatid live-cell imaging.,https://doi.org/10.1371/journal.ppat.1010218,35041719,Score 13.8,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 0.76, Weighted sum of stars: 3.0,Good,09 Feb 2022,Muniz RS et al.,New Finding
Legionella hijacks the host Golgi-to-ER retrograde pathway for the association of Legionella-containing vacuole with the ER.,https://doi.org/10.1371/journal.ppat.1009437,33760868,Score 13.9,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 1.49, Weighted sum of stars: 3.0,Good,09 May 2021,Kawabata M et al.,Good for Teaching
Legionella hijacks the host Golgi-to-ER retrograde pathway for the association of Legionella-containing vacuole with the ER.,https://doi.org/10.1371/journal.ppat.1009437,33760868,Score 13.9,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 1.49, Weighted sum of stars: 3.0,Good,09 May 2021,Kawabata M et al.,New Finding
Revealing spatio-temporal dynamics with long-term trypanosomatid live-cell imaging.,https://doi.org/10.1371/journal.ppat.1010218,35041719,Score 13.8,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 0.76, Weighted sum of stars: 3.0,Good,09 Feb 2022,Muniz RS et al.,Technical Advance
Novel RNA viruses associated with Plasmodium vivax in human malaria and Leucocytozoon parasites in avian disease.,https://doi.org/10.1371/journal.ppat.1008216,31887217,Score 9.3,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 2.39, Weighted sum of stars: 2.0,Very Good,18 Dec 2022,Charon J et al.,New Finding
Novel RNA viruses associated with Plasmodium vivax in human malaria and Leucocytozoon parasites in avian disease.,https://doi.org/10.1371/journal.ppat.1008216,31887217,Score 9.3,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 2.39, Weighted sum of stars: 2.0,Very Good,18 Dec 2022,Charon J et al.,Technical Advance
The acquisition of clinically relevant amoxicillin resistance in Streptococcus pneumoniae requires ordered horizontal gene transfer of four loci.,https://doi.org/10.1371/journal.ppat.1010727,35877768,Score 9.3,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 1.22, Weighted sum of stars: 2.0,Very Good,12 Dec 2022,Gibson PS et al.,Confirmation
The acquisition of clinically relevant amoxicillin resistance in Streptococcus pneumoniae requires ordered horizontal gene transfer of four loci.,https://doi.org/10.1371/journal.ppat.1010727,35877768,Score 9.3,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 1.22, Weighted sum of stars: 2.0,Very Good,12 Dec 2022,Gibson PS et al.,Good for Teaching
The acquisition of clinically relevant amoxicillin resistance in Streptococcus pneumoniae requires ordered horizontal gene transfer of four loci.,https://doi.org/10.1371/journal.ppat.1010727,35877768,Score 9.3,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 1.22, Weighted sum of stars: 2.0,Very Good,12 Dec 2022,Gibson PS et al.,Interesting Hypothesis
Highly efficient CRISPR-Cas9-mediated gene knockout in primary human B cells for functional genetic studies of Epstein-Barr virus infection.,https://doi.org/10.1371/journal.ppat.1009117,33857265,Score 18.5,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 1.16, Weighted sum of stars: 4.0,Exceptional,06 May 2021,Akidil E et al.,Technical Advance
Candida albicans induces mucosal bacterial dysbiosis that promotes invasive infection.,https://doi.org/10.1371/journal.ppat.1007717,31009520,Score 14.2,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 7.1, Weighted sum of stars: 3.0,Very Good,08 May 2019,Bertolini M et al.,Good for Teaching
Candida albicans induces mucosal bacterial dysbiosis that promotes invasive infection.,https://doi.org/10.1371/journal.ppat.1007717,31009520,Score 14.2,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 7.1, Weighted sum of stars: 3.0,Very Good,08 May 2019,Bertolini M et al.,New Finding
Determining Aspergillus fumigatus transcription factor expression and function during invasion of the mammalian lung.,https://doi.org/10.1371/journal.ppat.1009235,33780518,Score 4.8,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 3.24, Weighted sum of stars: 1.0,Good,13 Dec 2021,Liu H et al.,New Finding
Candida albicans induces mucosal bacterial dysbiosis that promotes invasive infection.,https://doi.org/10.1371/journal.ppat.1007717,31009520,Score 14.2,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 7.1, Weighted sum of stars: 3.0,Very Good,08 May 2019,Bertolini M et al.,Technical Advance
"Strain-specific genome evolution in Trypanosoma cruzi, the agent of Chagas disease.",https://doi.org/10.1371/journal.ppat.1009254,33508020,Score 9.5,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 5.98, Weighted sum of stars: 2.0,Very Good,12 Dec 2021,Wang W et al.,New Finding
Three-dimensional ultrastructure of Plasmodium falciparum throughout cytokinesis.,https://doi.org/10.1371/journal.ppat.1008587,32511279,Score 4.8,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 3.08, Weighted sum of stars: 1.0,Good,04 May 2021,Rudlaff RM et al.,New Finding
Essential roles for deubiquitination in Leishmania life cycle progression.,https://doi.org/10.1371/journal.ppat.1008455,32544189,Score 9.3,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 2.29, Weighted sum of stars: 2.0,Very Good,04 May 2021,Damianou A et al.,New Finding
