Doi,Novelty_Type,Novelty,Year
10.1371/journal.pbio.0030059,1,3.4267570174853184,2005
10.1371/journal.pbio.0060054,1,-10.698916610943323,2008
10.1371/journal.pbio.0060061,1,-8.747754860604696,2008
10.1371/journal.pbio.0060107,1,-10.338077480857931,2008
10.1371/journal.pbio.1000001,1,-11.300080676835776,2008
10.1371/journal.pbio.1000187,1,-7.929925657295443,2009
10.1371/journal.pbio.1000204,1,-8.613316770669082,2009
10.1371/journal.pbio.1000442,1,-8.031681061720573,2010
10.1371/journal.pbio.1000518,1,-7.587982510756618,2010
10.1371/journal.pbio.1000579,1,-9.175528748695374,2011
10.1371/journal.pbio.1000587,1,-9.087799689714492,2011
10.1371/journal.pbio.1001019,1,-9.068121110483196,2011
10.1371/journal.pbio.1001046,1,-10.461109975182117,2011
10.1371/journal.pbio.1001151,1,-28.550693458981925,2011
10.1371/journal.pbio.1001152,1,-7.811634476006595,2011
10.1371/journal.pbio.1001188,1,-8.08354011966951,2011
10.1371/journal.pbio.1001216,1,-8.185092942172904,2011
10.1371/journal.pbio.1001230,1,-10.93465761669728,2012
10.1371/journal.pbio.1001241,1,-10.111549937879245,2012
10.1371/journal.pbio.1001244,1,-9.714568841849134,2012
10.1371/journal.pbio.1001252,1,-10.078281329178989,2012
10.1371/journal.pbio.1001292,1,-10.213136866688956,2012
10.1371/journal.pbio.1001308,1,-7.745618843060746,2012
10.1371/journal.pbio.1001317,1,-9.201506951211831,2012
10.1371/journal.pbio.1001330,1,-8.10030944353997,2012
10.1371/journal.pbio.1001428,1,-7.569065259242941,2012
10.1371/journal.pbio.1001465,1,-8.00780639414466,2013
10.1371/journal.pbio.1001469,1,-11.760482555618538,2013
10.1371/journal.pbio.1001475,1,-8.141678898540231,2013
10.1371/journal.pbio.1001482,1,-9.78268057739636,2013
10.1371/journal.pbio.1001508,1,-7.771951170956535,2013
10.1371/journal.pbio.1001510,1,-9.948745027504604,2013
10.1371/journal.pbio.1001525,1,-7.640955226319107,2013
10.1371/journal.pbio.1001539,1,-11.928362223849224,2013
10.1371/journal.pbio.1001558,1,-9.682723614867266,2013
10.1371/journal.pbio.1001566,1,-8.263475640205492,2013
10.1371/journal.pbio.1001583,1,-7.849576156052824,2013
10.1371/journal.pbio.1001604,1,-7.771951170956535,2013
10.1371/journal.pbio.1001613,1,-8.007402751942664,2013
10.1371/journal.pbio.1001621,1,-10.712020192437416,2013
10.1371/journal.pbio.1001640,1,-7.638681533166798,2013
10.1371/journal.pbio.1001652,1,-7.762016322479115,2013
10.1371/journal.pbio.1001655,1,-7.509891970784313,2013
10.1371/journal.pbio.1001662,1,-9.699407703634735,2013
10.1371/journal.pbio.1001692,1,-10.712020192437416,2013
10.1371/journal.pbio.1001720,1,-7.524386750981434,2013
10.1371/journal.pbio.1001743,1,-7.849576156052824,2013
10.1371/journal.pbio.1001756,0,-7.89771915600207,2014
10.1371/journal.pbio.1001786,1,-9.103890395984,2014
10.1371/journal.pbio.1001798,1,-38.67117627749318,2014
10.1371/journal.pbio.1001815,1,-14.702616561413432,2014
10.1371/journal.pbio.1001824,1,-10.666079900853248,2014
10.1371/journal.pbio.1001845,1,-7.683889720381253,2014
10.1371/journal.pbio.1001853,1,-16.378832027120612,2014
