Doi,Novelty_Type,Novelty,Year
10.1371/journal.pbio.0020211,1,2.266912831962672,2004
10.1371/journal.pbio.0020296,1,1.8158430858799404,2004
10.1371/journal.pbio.0030053,1,10.603204756548266,2005
10.1371/journal.pbio.0030059,1,3.4267570174853184,2005
10.1371/journal.pbio.0030262,1,8.725870418810086,2005
10.1371/journal.pbio.0030305,1,1.815193995562085,2005
10.1371/journal.pbio.0030314,0,9.947973736067272,2005
10.1371/journal.pbio.0030337,1,3.5697483940306665,2005
10.1371/journal.pbio.0040003,1,2.4686224310613936,2006
10.1371/journal.pbio.0040060,1,9.248704616353429,2006
10.1371/journal.pbio.0040158,1,2.8477808824489634,2006
10.1371/journal.pbio.0040216,1,6.061502666934513,2006
10.1371/journal.pbio.0050264,1,3.469277946124829,2007
10.1371/journal.pbio.0050318,1,3.5682318750554094,2007
10.1371/journal.pbio.0060054,1,-8.629369309838506,2008
10.1371/journal.pbio.0060149,1,5.505208433401389,2008
10.1371/journal.pbio.0060202,1,11.455136230293975,2008
10.1371/journal.pbio.0060235,1,2.7357524839139966,2008
10.1371/journal.pbio.0060305,1,1.9490266876550155,2008
10.1371/journal.pbio.1000204,1,-9.547862645052298,2009
10.1371/journal.pbio.1000442,1,-8.044668117878688,2010
10.1371/journal.pbio.1000579,1,-7.311707945890291,2011
10.1371/journal.pbio.1000587,1,-7.407962028046628,2011
10.1371/journal.pbio.1001046,1,-8.251887540632827,2011
10.1371/journal.pbio.1001142,1,-7.945844953191129,2011
10.1371/journal.pbio.1001151,1,-16.925473996416873,2011
10.1371/journal.pbio.1001152,1,-10.812452195813028,2011
10.1371/journal.pbio.1001216,1,-8.259007167781013,2011
10.1371/journal.pbio.1001230,1,-9.906046606007996,2012
10.1371/journal.pbio.1001241,1,-11.20974924654955,2012
10.1371/journal.pbio.1001244,1,-14.16074577433461,2012
10.1371/journal.pbio.1001252,1,-6.901122756532788,2012
10.1371/journal.pbio.1001292,1,-7.77745527362416,2012
10.1371/journal.pbio.1001305,1,-7.711955225505638,2012
10.1371/journal.pbio.1001308,1,-6.868083372551592,2012
10.1371/journal.pbio.1001317,1,-8.453964329648999,2012
10.1371/journal.pbio.1001330,1,-8.354372862847907,2012
10.1371/journal.pbio.1001402,1,-7.718963741911287,2012
10.1371/journal.pbio.1001428,1,-7.749862910711556,2012
10.1371/journal.pbio.1001469,1,-9.67350562312324,2013
10.1371/journal.pbio.1001475,1,-7.183628653087435,2013
10.1371/journal.pbio.1001482,1,-8.277384767284428,2013
10.1371/journal.pbio.1001510,1,-9.933863830742828,2013
10.1371/journal.pbio.1001525,1,-6.76214885951137,2013
10.1371/journal.pbio.1001539,1,-9.8501325928846,2013
10.1371/journal.pbio.1001558,1,-9.107855548692356,2013
10.1371/journal.pbio.1001566,1,-7.922391914004801,2013
10.1371/journal.pbio.1001583,1,-10.14072206243804,2013
10.1371/journal.pbio.1001604,1,-11.856574852783496,2013
10.1371/journal.pbio.1001621,1,-7.132846773792211,2013
10.1371/journal.pbio.1001652,1,-7.225940377997427,2013
10.1371/journal.pbio.1001662,1,19.751392537361102,2013
10.1371/journal.pbio.1001743,1,-8.111223006693715,2013
10.1371/journal.pbio.1001763,1,-7.383056447095786,2014
10.1371/journal.pbio.1001786,1,-16.457906888669303,2014
10.1371/journal.pbio.1001798,1,-16.02647751049186,2014
10.1371/journal.pbio.1001815,1,-17.333111677819232,2014
10.1371/journal.pbio.1001824,1,-14.586459180526653,2014
10.1371/journal.pbio.1001845,1,-7.888853304114686,2014
10.1371/journal.pbio.1001853,1,-12.768513636263148,2014
10.1371/journal.pbio.1001897,1,-7.957164552104465,2014
10.1371/journal.pbio.1001900,1,-6.985771027879306,2014
10.1371/journal.pbio.1001914,1,-7.623357881244941,2014
10.1371/journal.pbio.1001920,1,-11.885294811141186,2014
10.1371/journal.pbio.1001930,1,-7.374645043684827,2014
10.1371/journal.pbio.1001935,1,-7.452620861944823,2014
10.1371/journal.pbio.1001970,1,-13.301873716482838,2014
10.1371/journal.pbio.1002017,0,-8.085037923600163,2014
10.1371/journal.pbio.1002482,1,-7.131053145563902,2016
10.1371/journal.pbio.1002515,1,-14.512652518138164,2016
10.1371/journal.pbio.2002117,1,4.321093063870833,2017
10.1371/journal.pbio.2002702,0,10.005277839894488,2017
10.1371/journal.pbio.2003174,1,-7.999711586577634,2018
10.1371/journal.pbio.2003962,1,-7.215203894313956,2018
10.1371/journal.pbio.2005439,1,-7.640559713532791,2018
10.1371/journal.pbio.2006643,1,-10.821332013777456,2018
