Doi,Novelty_Type,Novelty,Year
10.1371/journal.pbio.2002654,0,15.654635625304314,2017
10.1371/journal.pbio.3001282,0,109.05464658292492,2021
10.1371/journal.pcbi.1000212,1,30.67293357428228,2008
10.1371/journal.pcbi.1000777,1,17.62607531860276,2010
10.1371/journal.pcbi.1002129,1,15.878294293339453,2011
10.1371/journal.pcbi.1005428,1,32.043947884722904,2017
10.1371/journal.pgen.1006294,1,21.21956963784792,2016
10.1371/journal.pgen.1006374,1,37.146771256372446,2016
10.1371/journal.pgen.1006498,1,17.432371820186003,2017
10.1371/journal.pgen.1006593,1,35.43065787885488,2017
10.1371/journal.pgen.1006701,1,41.77546963658219,2017
10.1371/journal.pgen.1006710,1,15.54768682953821,2017
10.1371/journal.pgen.1006726,1,33.024876675328066,2017
10.1371/journal.pgen.1006772,1,17.005897412046536,2017
10.1371/journal.pgen.1006782,1,31.81605356552437,2017
10.1371/journal.pgen.1006867,1,39.62413705258588,2017
10.1371/journal.pgen.1006937,1,17.45239302649524,2017
10.1371/journal.pgen.1006978,1,21.268779231064016,2017
10.1371/journal.pgen.1007098,1,30.48193242564428,2017
10.1371/journal.pgen.1007145,1,16.15426289533506,2018
10.1371/journal.pgen.1007146,1,30.23232384272736,2018
10.1371/journal.pgen.1007176,1,18.335936442420937,2018
10.1371/journal.pgen.1007272,1,44.04136465384582,2018
10.1371/journal.pgen.1007298,1,35.4699783115272,2018
10.1371/journal.pgen.1007326,1,27.07794328819475,2018
10.1371/journal.pgen.1007332,1,23.453459910925908,2018
10.1371/journal.pgen.1007417,1,36.03063169275625,2018
10.1371/journal.pgen.1007520,1,17.004689679798442,2018
10.1371/journal.pgen.1007640,1,15.586998517977582,2018
10.1371/journal.pgen.1007689,1,26.949520112012912,2018
10.1371/journal.pgen.1007976,1,56.82361676102944,2019
10.1371/journal.pgen.1008037,1,59.09336758527954,2019
10.1371/journal.pgen.1008272,1,58.79740314543828,2019
10.1371/journal.pgen.1008331,1,24.162399313272047,2019
10.1371/journal.pgen.1008333,0,24.20737382866624,2019
10.1371/journal.pgen.1008352,1,15.57547421110588,2019
10.1371/journal.pgen.1008379,1,28.05960599634237,2019
10.1371/journal.pgen.1008408,1,18.01870153946788,2019
10.1371/journal.pgen.1008456,0,55.46005748767563,2019
10.1371/journal.pgen.1008959,1,19.09820686359545,2020
