Doi,Novelty,Year
10.1371/journal.pone.0002630,-8.204459835626155,2008
10.1371/journal.pcbi.1000225,-10.698916610943323,2008
10.1371/journal.pntd.0000739,-8.703943885630874,2010
10.1371/journal.pone.0008596,-7.8526055055293424,2010
10.1371/journal.pmed.1000381,-8.999091069758078,2010
10.1371/journal.pone.0027110,-7.353635917576733,2011
10.1371/journal.pone.0029423,-12.1686298538977,2011
10.1371/journal.pone.0028531,-7.434609157393472,2011
10.1371/journal.pone.0027813,-11.87619816447792,2011
10.1371/journal.pone.0029494,-8.427360826699106,2011
10.1371/journal.pone.0027848,-9.736861232633244,2011
10.1371/journal.pone.0028574,-10.163971486474404,2011
10.1371/journal.pone.0027171,-11.203756544855,2011
10.1371/journal.pone.0029577,-7.67766594048237,2011
10.1371/journal.pone.0027875,-8.78754842118993,2011
10.1371/journal.pone.0027196,-7.549745280670502,2011
10.1371/journal.pone.0027213,-8.308737604513713,2011
10.1371/journal.pone.0027915,-8.432958597687438,2011
10.1371/journal.pone.0027925,-9.11351393364033,2011
10.1371/journal.pbio.1001109,-8.774309694329938,2011
10.1371/journal.pone.0028676,-7.867375310534621,2011
10.1371/journal.pone.0027957,-7.326236863559389,2011
10.1371/journal.pone.0028683,-7.358455931010783,2011
10.1371/journal.pone.0027966,-8.96893698789945,2011
10.1371/journal.pone.0027995,-7.981987297166115,2011
10.1371/journal.pone.0028744,-7.74652704592538,2011
10.1371/journal.pone.0028020,-22.71299836019665,2011
10.1371/journal.pone.0027354,-8.364747297102207,2011
10.1371/journal.pone.0027355,-7.358455931010783,2011
10.1371/journal.pone.0028789,-8.409254427273234,2011
10.1371/journal.pone.0028076,-7.852475817778296,2011
10.1371/journal.pone.0027376,-9.11351393364033,2011
10.1371/journal.pone.0017793,-8.695019170857252,2011
10.1371/journal.pone.0027407,-7.538269887622692,2011
10.1371/journal.pone.0028114,-7.417111664268432,2011
10.1371/journal.pone.0028127,-8.85696021884004,2011
10.1371/journal.pone.0028133,-7.358455931010783,2011
10.1371/journal.pone.0027433,-8.695019170857252,2011
10.1371/journal.pone.0027464,-7.475415578708534,2011
10.1371/journal.pntd.0001193,-7.898593657776249,2011
10.1371/journal.pone.0027465,-9.424194558280831,2011
10.1371/journal.pone.0027474,-13.92034979052619,2011
10.1371/journal.pone.0028185,-9.014953891045698,2011
10.1371/journal.pone.0027478,-7.358455931010783,2011
10.1371/journal.pone.0028200,-7.902593270070075,2011
10.1371/journal.pone.0028964,-21.624543021321085,2011
10.1371/journal.pone.0016560,-8.560190534084818,2011
10.1371/journal.pone.0028223,-7.859175916536695,2011
10.1371/journal.pone.0027527,-9.557572620115296,2011
10.1371/journal.pone.0027535,-10.712464150164402,2011
10.1371/journal.pone.0029011,-8.355228506776307,2011
10.1371/journal.pone.0027572,-10.545784927709525,2011
10.1371/journal.pone.0027580,-9.11351393364033,2011
10.1371/journal.pone.0027592,-10.53344691532646,2011
10.1371/journal.pntd.0001337,-10.07731969944216,2011
10.1371/journal.pone.0029140,-7.6264672910170574,2011
10.1371/journal.pone.0027638,-8.777971021268382,2011
10.1371/journal.pone.0028359,-7.481477338649882,2011
10.1371/journal.pone.0028365,-8.168048421661725,2011
10.1371/journal.pone.0026973,-7.623318628992748,2011
10.1371/journal.pone.0028379,-7.354454241076636,2011
10.1371/journal.pone.0029191,-7.38373455930209,2011
10.1371/journal.pone.0017394,-7.501553481528271,2011
10.1371/journal.pntd.0001410,-7.697847621857883,2011
10.1371/journal.pone.0029209,-7.375863664094881,2011
10.1371/journal.pone.0028408,-8.409254427273234,2011
10.1371/journal.pntd.0001420,-8.070115275718202,2011
10.1371/journal.pone.0029222,-16.40150614258545,2011
