Doi,Novelty,Year
10.1371/journal.pone.0000025,14.206510206114904,2006
10.1371/journal.pcbi.0030024,3.5117135973112017,2007
10.1371/journal.pone.0000605,2.4680782841236675,2007
10.1371/journal.pone.0001327,2.149501831947286,2007
10.1371/journal.pone.0002899,7.045348109519441,2008
10.1371/journal.pone.0003304,12.312325861738705,2008
10.1371/journal.pone.0001846,7.773985776636002,2008
10.1371/journal.pone.0002241,2.512490231553542,2008
10.1371/journal.pcbi.1000225,-9.106385359558317,2008
10.1371/journal.pone.0002742,22.95722542659448,2008
10.1371/journal.pone.0003922,7.043402540808092,2008
10.1371/journal.pone.0003168,-7.111173838970018,2008
10.1371/journal.pone.0002440,2.7094964736236267,2008
10.1371/journal.pone.0006797,25.974195162858024,2009
10.1371/journal.pone.0007952,2.285960190547888,2009
10.1371/journal.pone.0004589,35.315974583328654,2009
10.1371/journal.pone.0006335,35.58092281225826,2009
10.1371/journal.pone.0005871,-7.143792808254371,2009
10.1371/journal.pone.0012432,2.662277947887045,2010
10.1371/journal.pone.0009134,25.96599215573312,2010
10.1371/journal.pone.0009141,-6.878800777498742,2010
10.1371/journal.pntd.0000739,-8.703943885630874,2010
10.1371/journal.pone.0012590,36.493001887055705,2010
10.1371/journal.pntd.0000848,-6.950883430013599,2010
10.1371/journal.pone.0009313,2.22560746179226,2010
10.1371/journal.pone.0010329,33.57704525268019,2010
10.1371/journal.pone.0009484,14.810610372675663,2010
10.1371/journal.pone.0008679,2.8503388070822075,2010
10.1371/journal.pone.0010386,16.33155957906235,2010
10.1371/journal.pone.0012102,13.060611032548374,2010
10.1371/journal.pone.0011255,11.199687324018411,2010
10.1371/journal.pone.0012113,14.158549631949986,2010
10.1371/journal.pone.0009601,13.095825224929037,2010
10.1371/journal.pone.0008766,30.228570534276614,2010
10.1371/journal.pone.0011337,66.57194463369822,2010
10.1371/journal.pone.0010530,7.155914752733799,2010
10.1371/journal.pone.0015323,35.93940269326795,2010
10.1371/journal.pone.0010574,3.342056610695902,2010
10.1371/journal.pone.0011450,21.96857985258869,2010
10.1371/journal.pone.0014011,2.139198034912524,2010
10.1371/journal.pone.0009775,10.369850495361868,2010
10.1371/journal.pone.0010659,19.263302606500083,2010
10.1371/journal.pone.0009822,-7.29609453105351,2010
10.1371/journal.pone.0015470,6.266225380131482,2010
10.1371/journal.pmed.1000381,-8.999091069758078,2010
10.1371/journal.pone.0027110,-7.148460442289858,2011
10.1371/journal.pone.0029423,-12.1686298538977,2011
10.1371/journal.pone.0028531,-7.434609157393472,2011
10.1371/journal.pone.0027813,-11.87619816447792,2011
10.1371/journal.pone.0029475,-7.070432849349201,2011
10.1371/journal.pone.0029494,-8.427360826699106,2011
10.1371/journal.pone.0027154,-6.859594326131434,2011
10.1371/journal.pone.0027848,-9.736861232633244,2011
10.1371/journal.pone.0028574,-10.163971486474404,2011
10.1371/journal.pone.0016901,70.0329078134301,2011
10.1371/journal.pone.0027171,-11.203756544855,2011
10.1371/journal.pone.0029577,-7.67766594048237,2011
10.1371/journal.pone.0027875,-8.78754842118993,2011
10.1371/journal.pone.0027196,-7.549745280670502,2011
10.1371/journal.pone.0027203,-6.996417490708796,2011
10.1371/journal.pone.0027892,-6.750391301430639,2011
10.1371/journal.pone.0027894,-6.744550823862491,2011
10.1371/journal.pone.0027213,-8.187219066454121,2011
10.1371/journal.pone.0027915,-8.432958597687438,2011
10.1371/journal.pone.0029801,-7.128616141103502,2011
10.1371/journal.pone.0014660,-7.9867136890482335,2011
10.1371/journal.pone.0027925,-9.11351393364033,2011
10.1371/journal.pone.0028676,-7.777322581281382,2011
10.1371/journal.pone.0027957,-7.326236863559389,2011
10.1371/journal.pone.0016319,-10.552723273946633,2011
10.1371/journal.pone.0028683,-7.358455931010783,2011
10.1371/journal.pone.0028685,-6.771111667693441,2011
10.1371/journal.pone.0027966,-8.96893698789945,2011
10.1371/journal.pntd.0000928,-7.139176474571062,2011
10.1371/journal.pone.0027995,-7.981987297166116,2011
10.1371/journal.pone.0017709,4.068508242371519,2011
10.1371/journal.pone.0028001,-7.023400315102583,2011
10.1371/journal.pone.0028744,-7.74652704592538,2011
10.1371/journal.pone.0028020,-22.71299836019665,2011
10.1371/journal.pone.0027339,-7.219609344811198,2011
10.1371/journal.pone.0028778,-6.718541633435516,2011
10.1371/journal.pone.0027354,-8.364747297102214,2011
10.1371/journal.pone.0027355,-7.358455931010783,2011
10.1371/journal.pone.0028789,-8.409254427273234,2011
10.1371/journal.pone.0027361,-7.197903101617655,2011
10.1371/journal.pntd.0001011,-6.926261352617716,2011
10.1371/journal.pone.0028076,-7.852475817778296,2011
10.1371/journal.pone.0027376,-9.11351393364033,2011
10.1371/journal.pntd.0001030,-6.765558804575733,2011
10.1371/journal.pone.0028823,-7.209951739858217,2011
10.1371/journal.pone.0027407,-7.434590669953102,2011
10.1371/journal.pcbi.1001127,-7.064502723021491,2011
10.1371/journal.pone.0028114,-7.417111664268432,2011
10.1371/journal.pone.0027421,-6.813323354368447,2011
10.1371/journal.pone.0028127,-8.85696021884004,2011
10.1371/journal.pone.0028133,-7.352012117520505,2011
10.1371/journal.pone.0017162,-7.798668316573592,2011
10.1371/journal.pone.0027433,-8.695019170857252,2011
10.1371/journal.pone.0028153,-6.772826877796642,2011
10.1371/journal.pone.0027460,-7.061805214270781,2011
10.1371/journal.pone.0027464,-7.475415578708533,2011
10.1371/journal.pntd.0001193,-7.898593657776248,2011
10.1371/journal.pone.0027465,-9.424194558280831,2011
10.1371/journal.pone.0028172,-6.97427579579536,2011
10.1371/journal.pcbi.1002055,15.731253133335404,2011
10.1371/journal.pone.0027474,-13.920349790526192,2011
10.1371/journal.pone.0028185,-9.014953891045698,2011
10.1371/journal.pone.0027478,-7.358455931010783,2011
10.1371/journal.pone.0028951,-6.972548699167005,2011
10.1371/journal.pone.0028200,-7.902593270070075,2011
10.1371/journal.pone.0028964,-21.624543021321085,2011
10.1371/journal.pone.0016560,-7.221375554239355,2011
10.1371/journal.pone.0028223,-7.859175916536695,2011
10.1371/journal.pone.0027527,-9.557572620115296,2011
10.1371/journal.pone.0027535,-10.658758979713015,2011
10.1371/journal.pone.0029011,-8.355228506776307,2011
10.1371/journal.pone.0028260,-7.047073835980567,2011
10.1371/journal.pone.0015892,14.80118404631752,2011
10.1371/journal.pone.0027572,-10.545784927709525,2011
10.1371/journal.pone.0027580,-9.11351393364033,2011
10.1371/journal.pone.0029063,-7.225823613580204,2011
10.1371/journal.pone.0027592,-10.53344691532646,2011
10.1371/journal.pntd.0001337,-10.07731969944216,2011
10.1371/journal.pone.0029111,-7.061805214270781,2011
10.1371/journal.pone.0027621,-6.838226920518223,2011
10.1371/journal.pone.0028344,-7.061805214270781,2011
10.1371/journal.pone.0029140,-7.6264672910170574,2011
10.1371/journal.pone.0027638,-8.777971021268382,2011
10.1371/journal.pone.0028359,-7.481477338649883,2011
10.1371/journal.pone.0028365,-8.168048421661725,2011
10.1371/journal.pone.0026973,-7.381247551781906,2011
10.1371/journal.pone.0028379,-7.354454241076636,2011
10.1371/journal.pone.0028380,-6.771111667693441,2011
10.1371/journal.pone.0029191,-7.3837345593020896,2011
10.1371/journal.pntd.0001410,-7.655019423353387,2011
10.1371/journal.pone.0029209,-7.215940848419589,2011
10.1371/journal.pone.0028408,-8.409254427273234,2011
10.1371/journal.pntd.0001420,-8.01841911577588,2011
10.1371/journal.pone.0029222,-16.40150614258545,2011
10.1371/journal.pone.0027020,-7.811634476006594,2011
10.1371/journal.pntd.0001429,-6.987970063027515,2011
10.1371/journal.pone.0027030,-7.787233343104225,2011
10.1371/journal.pone.0028431,-7.11850157121018,2011
10.1371/journal.pone.0016760,-7.667797015874872,2011
10.1371/journal.pone.0027051,-11.974570855083735,2011
10.1371/journal.pone.0027730,-6.838226920518223,2011
10.1371/journal.pone.0029296,-8.947213620951908,2011
10.1371/journal.pone.0027743,-7.524149941657174,2011
10.1371/journal.pone.0029309,-9.44191284643935,2011
10.1371/journal.pone.0027744,-15.00764396083125,2011
10.1371/journal.pone.0027070,-14.896647379028003,2011
10.1371/journal.pone.0027746,-8.695019170857252,2011
10.1371/journal.pone.0027073,-7.483223534517381,2011
10.1371/journal.pone.0027750,-14.01290241092878,2011
10.1371/journal.pone.0027075,-6.771111667693441,2011
10.1371/journal.pone.0016804,1.8957057035854816,2011
10.1371/journal.pone.0028485,-7.197903101617655,2011
10.1371/journal.pone.0029337,-8.774309694329938,2011
10.1371/journal.pone.0017481,-19.13976057951632,2011
10.1371/journal.pone.0027089,-7.453657380659754,2011
10.1371/journal.pone.0027767,-10.858766591625685,2011
10.1371/journal.pone.0029363,-7.060528095738342,2011
10.1371/journal.pone.0029364,-7.596753078025866,2011
10.1371/journal.pone.0028501,-7.525352759178574,2011
10.1371/journal.pone.0028503,-6.881087446498765,2011
10.1371/journal.pone.0032924,-9.143695095079195,2012
10.1371/journal.pone.0040589,-8.444068986543598,2012
10.1371/journal.pone.0032928,-8.711169856254525,2012
10.1371/journal.pone.0038042,-8.10030944353997,2012
10.1371/journal.pone.0045720,4.318760018168328,2012
10.1371/journal.pone.0030401,-9.201506951211831,2012
10.1371/journal.pone.0038061,-7.107087839907125,2012
10.1371/journal.pone.0035510,-7.985431941208392,2012
10.1371/journal.pone.0048298,157.3453162729977,2012
10.1371/journal.pone.0030423,-6.948965598739792,2012
10.1371/journal.pone.0035532,-10.265015986342531,2012
10.1371/journal.pone.0030427,-8.711169856254525,2012
10.1371/journal.pone.0040645,-6.801025849936805,2012
10.1371/journal.pone.0035540,-9.154531993788476,2012
10.1371/journal.pone.0032989,-7.241400719394266,2012
10.1371/journal.pone.0038103,-8.15103386692329,2012
10.1371/journal.pone.0048342,-7.067288045730005,2012
10.1371/journal.pone.0035567,-8.426202522770112,2012
10.1371/journal.pone.0048352,-6.866695859730219,2012
10.1371/journal.pone.0030462,-7.241400719394266,2012
10.1371/journal.pone.0040690,-9.349331102800129,2012
10.1371/journal.pone.0040692,-7.333301330013134,2012
10.1371/journal.pone.0033031,-10.491518878397455,2012
10.1371/journal.pone.0040694,-7.985431941208393,2012
10.1371/journal.pone.0038139,-6.864629128656893,2012
10.1371/journal.pone.0048380,-8.481843849708993,2012
10.1371/journal.pone.0035596,-8.555693991368575,2012
10.1371/journal.pone.0038156,-8.329257837873207,2012
10.1371/journal.pone.0030503,-7.107087839907125,2012
10.1371/journal.pone.0033071,-7.004402874309137,2012
10.1371/journal.pone.0051049,5.815995001708349,2012
10.1371/journal.pone.0030523,-7.715631759702341,2012
10.1371/journal.pone.0030531,-38.5591230532657,2012
10.1371/journal.pone.0038193,-8.103444422688954,2012
10.1371/journal.pone.0033093,-8.840792111995746,2012
10.1371/journal.pone.0035655,-7.107087839907125,2012
10.1371/journal.pone.0035659,-13.007415814058891,2012
10.1371/journal.pone.0033108,-7.929214848821947,2012
10.1371/journal.pone.0038214,-7.21337555415257,2012
10.1371/journal.pone.0033121,-8.547158742081212,2012
10.1371/journal.pone.0040792,-7.43441687903245,2012
10.1371/journal.pone.0051107,-13.575855201231644,2012
10.1371/journal.pone.0033140,-11.765112582819654,2012
10.1371/journal.pone.0033142,-15.91438020959563,2012
10.1371/journal.pone.0043356,-6.846754295666191,2012
10.1371/journal.pone.0033147,-7.0172924255780655,2012
10.1371/journal.pone.0038257,-7.1393479401060125,2012
10.1371/journal.pone.0045920,2.4497041925385648,2012
10.1371/journal.pone.0030603,-7.090271459655247,2012
10.1371/journal.pone.0038264,-7.657219137918699,2012
10.1371/journal.pone.0030608,-7.873103323919373,2012
10.1371/journal.pone.0033163,-7.440406976855186,2012
10.1371/journal.pone.0035716,-7.187730086187939,2012
10.1371/journal.pone.0030616,-9.079089083429992,2012
10.1371/journal.pone.0038280,-7.764956657782389,2012
10.1371/journal.pone.0038284,-8.017837257372731,2012
10.1371/journal.pone.0033194,-8.212774654714917,2012
10.1371/journal.pone.0033195,-7.187730086187939,2012
10.1371/journal.pone.0033196,-7.127407851174564,2012
10.1371/journal.pone.0033197,-8.458186666313054,2012
10.1371/journal.pone.0035749,-13.229505044818628,2012
10.1371/journal.pone.0030644,-8.559942742310037,2012
10.1371/journal.pone.0033204,-7.669024648874443,2012
10.1371/journal.pone.0030658,-8.337146343522948,2012
10.1371/journal.pone.0038323,-8.984450939530044,2012
10.1371/journal.pone.0030675,-11.264055939228546,2012
10.1371/journal.pone.0038338,-9.683681918874756,2012
10.1371/journal.pone.0035784,-8.29035609801585,2012
10.1371/journal.pone.0033233,-6.808924274268324,2012
10.1371/journal.pone.0033243,-8.270691634738494,2012
10.1371/journal.pone.0030692,-7.816333364473012,2012
10.1371/journal.pone.0033261,-8.223500274625104,2012
10.1371/journal.pone.0033262,-8.6865002981667,2012
10.1371/journal.pone.0040928,-7.410220129958249,2012
10.1371/journal.pone.0040933,-10.213136866688956,2012
10.1371/journal.pone.0043484,2.335690554189585,2012
